#CLING	Graphsage
16070820	98736870
16300510	97800091
15801864	97679378
16142070	98668371
16616115	98420575
15915638	98833538
16176886	97736588
15865980	97914443
16283334	97871729
16412657	98090718
16151570	98116059
15767835	98604954
16718291	97534789
16343473	97711280
15913110	97772869
15829760	97576893
16326201	97917511
16086611	98685308
16182000	98818426
16203454	98031769
16594356	98128119
16257576	98658366
16068140	97360903
16145065	97855437
15800417	97417610
16090253	97890808
16128150	98157787
15883693	98802715
16104062	98164166
15997895	100125995
15913794	97045082
15724894	98172056
16171892	97955852
16041495	98665491
15732271	97611231
16586007	98070165
15766932	98111377
16009560	97841852
15783332	97058254
16451921	98246335
16456879	98862537
16275237	98734743
16438789	98112959
16077576	97434464
15861663	98026819
16393300	97794713
16272031	97768026
16272328	97697991
15977312	98102663
16553302	97716925
15955631	97838626
15959814	98483510
16123556	97393245
15955157	97858884
15732137	98761485
15860405	97849807
16017600	97803020
16530742	98039353
16118803	97361587
16015175	97410766
16018294	98077269
16352026	97004663
16086388	98134772
16625806	98136987
16346736	97950274
15954392	98724682
16404359	98662141
15934832	97830206
16488157	96966658
16007560	98577792
16370614	99003407
16348913	97860111
15819994	98939263
16716423	97364371
16325015	98121370
16133304	97527305
16568468	96970991
16221600	96722190
16516599	98068696
16330149	97936071
15973841	97663312
16050362	97548883
16029461	97323272
15746406	96401804
16151923	98357846
15914797	97187791
16366441	97076855
15728043	98224789
16108606	98676953
16533419	97210628
16182168	96803454
15850558	98169270
16383974	99092223
16210404	97618844
16462837	98659385
15523844	97826132
15865481	97865943
16182755	97292306
15911085	97905252
16190515	98137982
16085235	97768797
16012781	98733315
16366253	97615627
16065775	98633657
16289328	97626110
15711122	98223709
15771859	97665431
15993692	97596809
16554946	98177793
15718335	97154301
16250120	97787308
16474637	98398603
16044610	98109653
16222990	96860747
16225832	97918095
16049621	97235758
16159785	98061836
16061021	98865495
15979163	97863485
16560622	98863814
15923453	99076387
16746347	97179031
15960934	98008151
15993070	98794392
16527854	98188561
15871291	97975781
16355063	97040522
15981182	98238502
16393639	97677264
16487430	97223594
16000042	98682200
15914893	98043901
16069225	97360675
15993799	98038683
16611941	97397603
15918989	98090701
15757919	97725382
16138302	98299680
15546558	97756122
16431434	97914450
16350593	99487915
15970576	98543454
16417034	97410817
16179270	98528255
16511439	97427444
15818135	97526295
16612521	98729285
15666828	98736224
16558154	97990219
15893235	96944017
16357824	97546552
16084273	98507002
16291412	96757577
15377526	98818697
16166620	97589521
16398673	98310419
16522737	98055934
16213539	99004043
16518046	98267462
16248250	98173920
15830434	98645695
16419934	98069686
15697001	97894194
16330131	99126572
15749647	98701253
16223574	98973254
16565809	98595635
16589658	98489932
16181037	97506608
15433492	98163066
15914816	98365705
16576904	98204646
16403486	98491233
16337576	98094589
16192229	97256504
16568968	98355078
16436644	97873124
16099225	97492117
15692054	97389817
15941801	98163278
15589934	97440864
16198007	98144442
15843419	97595455
15965366	98700024
15811372	96988987
15811863	98379863
16210549	97999200
16114409	98652792
16449310	98117030
16243631	98096205
15915173	98511157
16755620	98524948
