#CLING	GraphSAGE
#layer1	layer2	layer3		layer1	layer2	layer3
18.72	28.94	37.4		17.66	16.51	24.4
18.17	27.78	37.74		17.47	16.61	24.49
19.92	29.39	38.39		17.45	16.62	24.21
19.36	28.95	37.59		17.82	16.6	24.51
19.01	28.71	37.55		17.69	16.66	24.53
19.33	29.8	38.67		17.5	16.5	24.38
18.81	28.76	38.04		17.48	16.56	24.33
19.67	29.49	38.87		17.54	16.56	24.41
18.65	28.06	37.79		17.2	16.56	24.55
19.26	28.59	37.95		17.51	16.69	24.55
19.13	29.16	38.43		17.55	16.6	24.34
19.09	28.71	37.49		17.47	16.53	24.28
18.7	28.91	36.66		17.84	16.6	24.39
18.92	28.54	37.74		17.68	16.62	24.52
20.37	28.88	37.07		15.9	16.45	24.52
19.14	28.31	37.57		16.34	16.64	24.59
18.91	28.54	38.74		17.37	16.38	24.44
19.53	29.02	38.78		17.69	16.56	24.49
19.48	28.11	37.69		17.66	16.52	24.48
18.23	29.1	39.21		17.35	16.63	24.47
18.63	28.99	37.36		17.25	16.4	24.34
19.89	29.56	37.18		17.76	16.48	24.4
19.44	28.9	37.01		17.63	16.6	24.32
19.57	28.28	37.8		17.63	16.59	24.46
19.8	29.22	37.09		17.29	16.6	24.48
19.05	29.34	38.04		17.58	16.65	24.51
20.31	28.98	37.37		17.64	16.6	24.61
19.62	29.23	37.95		17.43	16.56	24.49
19.43	29.12	37.33		17.75	16.61	24.52
19.56	28.67	38.37		17.71	16.55	24.66
18.94	28.47	37.56		17.66	16.66	24.49
19.43	28.75	38.01		17.41	16.59	24.6
18.8	29.17	39.09		17.61	16.58	24.43
20.29	28.83	37.51		17.79	16.55	24.35
19.69	29.41	38.31		17.4	16.64	24.51
18.5	28.66	36.81		17.63	16.58	24.44
20.09	28.97	37.87		17.58	16.6	24.38
18.81	28.41	36.71		17.28	16.61	24.27
19.38	29.44	38.53		17.36	16.53	24.35
19.66	29.78	38.35		17.7	16.64	24.66
19.37	28.11	37.1		17.49	16.57	24.41
19.13	27.69	37.36		17.67	16.56	24.27
19.71	28.21	37.83		17.52	16.54	24.42
19.42	28.38	39		17.15	16.56	24.46
20.59	29.07	37.31		17.41	16.58	24.53
18.77	28.64	37.63		17.61	16.58	24.44
18.94	29.07	37.52		17.54	16.6	24.48
18.77	29.06	38.76		17.71	16.53	24.55
19.68	28.77	37.37		17.67	16.58	24.59
18.17	28.54	37.9		17.54	16.56	24.15
19.08	29.08	37.91		17.54	16.54	24.35
19.56	28.64	38.18		17.43	16.62	24.62
20.16	29.17	37.2		17.18	16.54	24.45
19.94	28.77	37.87		17.8	16.61	24.51
19.83	29.38	37.34		17.23	16.59	24.53
19.3	29.43	38.99		17.71	16.57	24.49
19.23	28.88	39.14		17.41	16.61	24.18
19.4	28.73	37.55		17.36	16.63	24.53
19.1	29.21	37.83		17.54	16.59	24.51
18.05	29.02	37		17.15	16.6	24.54
19.27	28.86	37.39		17.49	16.56	24.72
19.49	28.63	37.53		17.48	16.59	24.5
18.87	29.57	37.38		17.42	16.63	24.35
19.68	28.27	37.36		17.81	16.6	24.58
18.92	28.06	37.52		17.63	16.61	24.46
19.37	29.31	38.23		17.64	16.53	24.55
19.65	27.82	37.18		17.62	16.49	24.36
19.42	28.83	38.53		17.58	16.64	24.44
19.92	29.19	36.7		17.68	16.57	24.38
19.14	29.47	38.03		17.63	16.58	24.57
19.14	29.44	38.28		17.76	16.58	24.66
18.54	27.8	37.56		17.58	16.54	24.17
18.82	27.68	38.98		17.41	16.65	24.43
18.16	28.77	38.65		17.46	16.72	24.77
19.13	29.17	37.5		17.49	16.63	24.37
19.29	28.97	38.16		17.5	16.67	24.34
18.82	28.66	37.18		17.57	16.64	24.3
19.75	28.29	37.06		17.41	16.71	24.35
19.65	28.56	39.2		17.59	16.52	24.38
19.46	28.84	38.14		17.34	16.52	24.55
20.08	28.52	38.04		17.62	16.58	24.57
19.26	28.71	38.68		17.82	16.54	24.51
19.94	28.77	37.02		17.17	16.63	24.53
19.05	28.69	38.52		17.37	16.64	24.41
19.78	29.31	37.02		17.5	16.45	24.38
19.05	29.38	37.89		17.37	16.58	24.49
18.39	28.52	37.74		17.66	16.59	24.45
19.83	29.32	38.51		17.6	16.57	24.33
19.62	28.09	37.18		17.45	16.63	24.54
18.48	28.44	38.01		17.57	16.69	24.56
19.69	28.99	37.23		17.36	16.6	24.48
20.01	29.7	38.78		17.71	16.45	24.46
18.92	28.89	38.08		17.56	16.59	24.49
19.33	28.53	37.84		17.49	16.59	24.53
19.04	28.46	38.16		17.57	16.57	24.48
20.55	29.05	38.67		17.48	16.65	24.43
19.98	29.26	39.47		17.62	16.6	24.5
18.49	29.01	38.63		17.47	16.48	24.3
18.97	29.05	37.7		17.07	16.61	24.23
20.07	28.82	38.2		17.54	16.59	24.3
18.96	28.88	38.5		17.72	16.65	24.42
18.85	28.7	38.53		17.75	16.57	24.64
18.94	28.87	38.52		17.62	16.64	24.54
19.15	29.22	37.95		17.61	16.64	24.52
19.6	29.16	38.53		17.53	16.62	24.56
18.97	29.53	39.23		17.53	16.55	24.3
19.03	29.03	38.21		17.48	16.61	24.59
20.13	29.32	37.78		17.63	16.59	24.43
18.84	28.68	38.83		17.64	16.51	24.3
18.26	29.44	38.74		17.36	16.6	24.39
18.43	29.51	39.12		17.28	16.6	24.48
19.36	29.11	37.77		17.26	16.61	24.46
19.9	28.8	37.95		17.6	16.5	24.52
19.24	28.82	37.51		17.39	16.63	24.46
19.55	28.04	37.88		17.48	16.59	24.45
20.01	28.04	38.21		17.24	16.57	24.35
19.78	28.95	36.78		17.67	16.62	24.61
19.31	29.23	39		17.57	16.59	24.49
19.37	29.6	38.25		17.6	16.5	24.25
19.41	26.72	37.28		17.67	16.5	24.47
18.85	29.42	37.83		17.3	16.51	24.45
19.34	28.5	37.29		17.48	16.74	24.6
20.36	28.72	36.88		17.63	16.61	24.57
18.68	28.64	38.59		17.7	16.57	24.59
19.38	28.37	37.87		17.7	16.58	24.53
